,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Andrea Salinas,Female,hispanic (mexican),white,,Yes,No,Oregon,5/21/24,Representative,6,H2OR06066,52509,87.08%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Christina Bohannan,Female,white,,,No,No,Iowa,6/4/24,Representative,1,,13870,99.33%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,
Sarah Corkery,Female,white,,,No,No,Iowa,6/4/24,Representative,2,,10479,99.38%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Lanon Baccam,Male,asian,,,No,No,Iowa,6/4/24,Representative,3,,19357,84.01%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,
Melissa Vine,Female,white,,,No,No,Iowa,6/4/24,Representative,3,,3642,15.81%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,
Ryan Melton,Male,white,,,No,No,Iowa,6/4/24,Representative,4,,6482,99.19%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Monica Tranel,Female,white,,,No,No,Montana,6/4/24,Representative,1,,59806,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,
Ming Cabrera,Male,unknown,,,No,No,Montana,6/4/24,Representative,2,,8408,20.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John B. Driscoll,Male,white,,,No,No,Montana,6/4/24,Representative,2,,13420,33.31%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin Hamm,Male,white,,,No,No,Montana,6/4/24,Representative,2,,7813,19.39%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Held,Male,white,,,No,No,Montana,6/4/24,Representative,2,,10649,26.43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ryan Busse,Male,white,,,No,No,Montana,6/4/24,Governor,N/A,,70857,70.96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Hunt,Male,white,,,No,No,Montana,6/4/24,Governor,N/A,,29004,29.04%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Hummert,Male,white,,,No,Yes,Montana,6/4/24,Senator,N/A,,3272,3.04%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,
Jon Tester,Male,white,,,Yes,No,Montana,6/4/24,Senator,N/A,S6MT00162,104279,96.96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Donald Norcross,Male,white,,,Yes,No,New Jersey,6/4/24,Representative,1,H4NJ01084,61308,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Tim Alexander,Male,black,,,No,No,New Jersey,6/4/24,Representative,2,,13621,37.06%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rodney A. Dean Sr.,Male,black,,,No,No,New Jersey,6/4/24,Representative,2,,1235,3.36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carolyn Rush,Female,white,,,No,No,New Jersey,6/4/24,Representative,2,,7836,21.32%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joseph F. Salerno,Male,white,,,No,No,New Jersey,6/4/24,Representative,2,,14060,38.26%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joe Cohn,Male,while,,,No,No,New Jersey,6/4/24,Representative,3,,6517,11.75%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Herb Conaway,Male,black,,,No,No,New Jersey,6/4/24,Representative,3,,27528,49.62%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carol Murphy,Female,white,,,No,No,New Jersey,6/4/24,Representative,3,,14049,25.32%,Lost,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brian Schkeeper,Male,white,,,No,No,New Jersey,6/4/24,Representative,3,,1862,3.36%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sarah Schoengood,Female,white,,,No,No,New Jersey,6/4/24,Representative,3,,5524,9.96%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matthew Jenkins,Male,white,,,No,No,New Jersey,6/4/24,Representative,4,,25389,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Josh Gottheimer,Male,white,,,Yes,No,New Jersey,6/4/24,Representative,5,H6NJ05171,42819,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
John Hsu,Male,asian,,,No,Yes,New Jersey,6/4/24,Representative,6,,6992,16.02%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Frank Pallone Jr.,Male,white,,,Yes,No,New Jersey,6/4/24,Representative,6,H8NJ03073,36649,83.98%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Sue Altman,Female,white,,,No,No,New Jersey,6/4/24,Representative,7,,38030,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A,Yes,
Ravinder S. Bhalla,Male,asian (sikh),,,No,Yes,New Jersey,6/4/24,Representative,8,,16218,37.53%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Kyle Fort Jasey,Male,white,black (jamaican),,No,Yes,New Jersey,6/4/24,Representative,8,,4528,10.48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Rob Menendez,Male,hispanic (cuban),,,Yes,No,New Jersey,6/4/24,Representative,8,H2NJ08232,22465,51.99%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Mohamed T. Khairullah,Male,middle eastern (syrian; muslim),,,No,Yes,New Jersey,6/4/24,Representative,9,,8328,23.90%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Bill Pascrell Jr.,Male,white,,,Yes,No,New Jersey,6/4/24,Representative,9,H6NJ08118,26514,76.10%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Donald M. Payne Jr.,Male,black,,,Yes,No,New Jersey,6/4/24,Representative,10,H2NJ10154,30180,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Mark Delotto,Male,white,,,No,Yes,New Jersey,6/4/24,Representative,11,,3309,6.38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Mikie Sherrill,Female,white,,,Yes,No,New Jersey,6/4/24,Representative,11,H8NJ11142,48539,93.62%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Daniel J. Dart,Male,white,,,No,Yes,New Jersey,6/4/24,Representative,12,,6623,13.21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Bonnie Watson Coleman,Female,black,,,Yes,No,New Jersey,6/4/24,Representative,12,H4NJ12149,43510,86.79%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Patricia Campos-Medina,Female,hispanic,,,No,No,New Jersey,6/4/24,Senator,N/A,,84286,16.06%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Lawrence Hamm,Male,black,,,No,No,New Jersey,6/4/24,Senator,N/A,,47796,9.11%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Andy Kim,Male,asian,,,No,No,New Jersey,6/4/24,Senator,N/A,,392602,74.83%,Won,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Melanie Ann Stansbury,Female,white,,,Yes,No,New Mexico,6/4/24,Representative,1,H2NM01144,47157,100.00%,Won,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Gabriel Vasquez,Male,hispanic (mexican),,,Yes,No,New Mexico,6/4/24,Representative,2,H2NM02191,29613,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Teresa Leger Fernandez,Female,hispanic ,native american,,Yes,No,New Mexico,6/4/24,Representative,3,H0NM03102,46008,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,Yes,N/A,N/A,
Martin Heinrich,Male,white,,,Yes,No,New Mexico,6/4/24,Senator,N/A,S2NM00088,122961,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Sheryl Johnson,Female,white,,,No,No,South Dakota,6/4/24,Representative,1,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chellie Pingree,Female,white,,,Yes,No,Maine,6/11/24,Representative,1,H8ME01120,46307,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Jared Forrest Golden,Male,white,,,Yes,No,Maine,6/11/24,Representative,2,H8ME02185,23183,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
David Allen Costello,Male,white,,,No,No,Maine,6/11/24,Senator,N/A,,54537,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dina Titus,Female,white,,,Yes,No,Nevada,6/11/24,Representative,1,H8NV03036,1,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
RockAthena Brittain,Female,white,,,No,Yes,Nevada,6/11/24,Representative,3,,3036,8.22%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Susie Lee,Female,while,,,Yes,No,Nevada,6/11/24,Representative,3,H6NV04020,33901,91.78%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Steven Horsford,Male,black,,,Yes,No,Nevada,6/11/24,Representative,4,H2NV04011,34861,89.51%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Levy Shultz,Male,black,,,No,Yes,Nevada,6/11/24,Representative,4,,4084,10.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Jacky S. Rosen,Female,white,,,Yes,No,Nevada,6/11/24,Senator,N/A,S8NV00156,144090,91.51%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Mike Schaefer,Male,white,,,No,Yes,Nevada,6/11/24,Senator,N/A,,3521,2.24%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Troy Zakari Walker,Male,black,,,No,Yes,Nevada,6/11/24,Senator,N/A,,5899,3.75%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Trygve Hammer,Male,white,,,No,No,North Dakota,6/11/24,Representative,1,,14088,73.36%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Roland Clifford Riemers,Male,white,,,No,No,North Dakota,6/11/24,Representative,1,,5042,26.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Merrill Piepkorn,Male,white,,,No,No,North Dakota,6/11/24,Governor,N/A,,19609,99.84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Katrina Christiansen,Female,white,,,No,No,North Dakota,6/11/24,Senator,N/A,,19690,99.76%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mac Deford,Male,white,,,No,No,South Carolina,6/11/24,Representative,1,,10209,48.38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael B. Moore,Male,black,,,No,No,South Carolina,6/11/24,Representative,1,,10893,51.62%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Robinson II,Male,black,,,No,No,South Carolina,6/11/24,Representative,2,,16299,84.05%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Daniel J. Shrief,Male,white,,,No,No,South Carolina,6/11/24,Representative,2,,3093,15.95%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bryon L. Best,Male,black,,,No,No,South Carolina,6/11/24,Representative,3,,5188,62.38%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Frances Guldner,Female,white,,,No,No,South Carolina,6/11/24,Representative,3,,3129,37.62%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kathryn Harvey,Female,white,,,No,No,South Carolina,6/11/24,Representative,4,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Evangeline Hundley,Female,black,,,No,No,South Carolina,6/11/24,Representative,5,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"James E. ""Jim"" Clyburn",Male,black,,,Yes,No,South Carolina,6/11/24,Representative,6,H2SC02042,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,
Mal Hyman,Male,white,,,No,No,South Carolina,6/11/24,Representative,7,,12617,50.80%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Daryl W. Scott,Male,black,,,No,No,South Carolina,6/11/24,Representative,7,,12218,49.20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dennis Baker,Male,native american (Yuchi),,,No,No,Oklahoma,6/18/24,Representative,1,,8527,59.22%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Evelyn L. Rogers,Female,white,,,No,No,Oklahoma,6/18/24,Representative,1,,5871,40.78%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brandon Wade,Male,white,,,No,No,Oklahoma,6/18/24,Representative,2,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mary Brannon,Female,white,,,No,No,Oklahoma,6/18/24,Representative,4,,8532,60.67%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kody Macaulay,Male,white,,,No,No,Oklahoma,6/18/24,Representative,4,,5530,39.33%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Madison Horn,Female,white,,,No,No,Oklahoma,6/18/24,Representative,5,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Herbert C. Jones, Jr.",Male,black,,,No,No,Virginia,6/18/24,Representative,1,,7653,33.41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Leslie C. Mehta,Female,black,,,No,No,Virginia,6/18/24,Representative,1,,15253,66.59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Missy Cotter Smasal,Female,white,,,No,No,Virginia,6/18/24,Representative,2,,20480,70.11%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,
"Jeremiah A. ""Jake"" Denton IV",Male,white,,,No,No,Virginia,6/18/24,Representative,2,,8732,29.89%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,
"Robert C. ""Bobby"" Scott",Male,Black,Asian (Fillipino),,Yes,No,Virginia,6/18/24,Representative,3,H6VA01117,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jennifer L. McClellan,Female,white,,,Yes,No,Virginia,6/18/24,Representative,4,H4VA04066,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Paul A. Riley,Male,white,,,No,No,Virginia,6/18/24,Representative,5,,5063,20.40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gary L. Terry,Male,black,,,No,No,Virginia,6/18/24,Representative,5,,5566,22.43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gloria Tinsley Witt,Female,black,,,No,No,Virginia,6/18/24,Representative,5,,14188,57.17%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ken L. Mitchell,Male,white,,,No,No,Virginia,6/18/24,Representative,6,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andrea O. Bailey,Female,black,,,No,No,Virginia,6/18/24,Representative,7,,4381,12.51%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carl B. Bedell,Male,white,,,No,No,Virginia,6/18/24,Representative,7,,738,2.11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Margaret Angela Franklin,Female,black,,,No,No,Virginia,6/18/24,Representative,7,,2034,5.81%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Elizabeth R. Guzman,Female,hispanic (peruvian),,,No,No,Virginia,6/18/24,Representative,7,,5283,15.08%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cliff D. Heinzer,Male,white,,,No,No,Virginia,6/18/24,Representative,7,,621,1.77%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Briana D. Sewell,Female,black,,,No,No,Virginia,6/18/24,Representative,7,,4706,13.44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eugene S. Vindman,Male,white,,,No,No,Virginia,6/18/24,Representative,7,,17263,49.29%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Donald S. Beyer, Jr.",Male,white,,,Yes,No,Virginia,6/18/24,Representative,8,H4VA08224,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Karen G. H. Baker,Female,white,,,No,No,Virginia,6/18/24,Representative,9,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark D. Leighton,Male,white,,,No,No,Virginia,6/18/24,Representative,10,,224,0.50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jennifer B. Boysko,Female,white,,,No,No,Virginia,6/18/24,Representative,10,,4016,9.05%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marion Devoe Sr.,Male,black,,,No,No,Virginia,6/18/24,Representative,10,,386,0.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eileen Filler-Corn,Female,white (jewish),,,No,No,Virginia,6/18/24,Representative,10,,4131,9.31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan I. Helmer,Male,white,,,No,No,Virginia,6/18/24,Representative,10,,11784,26.55%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Krystle Veda Kaul,Female,Asian (Indian),,,No,No,Virginia,6/18/24,Representative,10,,982,2.21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michelle-Ann E. Lopes Maldonado,Female,black,,,No,No,Virginia,6/18/24,Representative,10,,1412,3.18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Travis S. Nembhard,Male,black,,,No,No,Virginia,6/18/24,Representative,10,,722,1.63%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Adrian A. Pokharel,Male,asian (indian),,,No,No,Virginia,6/18/24,Representative,10,,1028,2.32%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Atif M. Qarni,Male,asian (pakistani),,,No,No,Virginia,6/18/24,Representative,10,,4768,10.74%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David A. Reid,Male,white,,,No,No,Virginia,6/18/24,Representative,10,,1419,3.20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Suhas Subramanyam,Male,asian (indian),,,No,No,Virginia,6/18/24,Representative,10,,13504,30.43%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Gerald E. ""Gerry"" Connolly",Male,white,,,Yes,No,Virginia,6/18/24,Representative,11,H8VA11062,37378,85.64%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Ahsan M. Nasar,Male,asian,,,No,Yes,Virginia,6/18/24,Representative,11,,6270,14.36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Timothy Michael Kaine,Male,white,,,Yes,No,Virginia,6/18/24,Senator,N/A,S2VA00142,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Diana DeGette,Female,white,,,Yes,No,Colorado,6/25/24,Representative,1,H6CO01141,78548,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Joe Neguse,Male,black,,,Yes,No,Colorado,6/25/24,Representative,2,H8CO02160,91218,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Adam Frisch,Male,white,,,No,No,Colorado,6/25/24,Representative,3,,51719,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,
John Padora Jr.,Male,white,,,No,No,Colorado,6/25/24,Representative,4,,6882,13.67%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Trisha Calvarese,Female,white,,,No,No,Colorado,6/25/24,Representative,4,,22756,45.19%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ike McCorkle,Male,white,,,No,No,Colorado,6/25/24,Representative,4,,20723,41.15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
