Personal Data,,,,,,,,Endorsement Data,,,Electoral Data,,,Factchecking Columns,,,
Candidate,Incumbent,Open Primary,State,Primary Date,Office,District,Gender,Trump,E-PAC,Winning for Women,Primary %,Primary Outcome,Chance of Winning (Nov 3),"Checked? (not H, J, K, L)",,Man vs. Woman?,"Checked? inc. H, J, K, P"
Jim Hagedorn,Yes,No,Minnesota,8/11/2020,Representative,1,Male,Yes,N/A,N/A,100,Won,,yes,MinnesotaRepresentative1,No,
Tyler Kistner,No,Yes,Minnesota,8/11/2020,Representative,2,Male,N/A,N/A,N/A,100,Won,,,MinnesotaRepresentative2,No,
Leslie Davis,No,Yes,Minnesota,8/11/2020,Representative,3,Male,N/A,N/A,N/A,24,Lost,,,MinnesotaRepresentative3,No,
Kendall Qualls,No,Yes,Minnesota,8/11/2020,Representative,3,Male,N/A,N/A,N/A,76,Won,,,MinnesotaRepresentative3,No,
Sia Lo,No,Yes,Minnesota,8/11/2020,Representative,4,Male,N/A,N/A,N/A,49,Lost,,,MinnesotaRepresentative4,No,
Gene Rechtzigel,No,Yes,Minnesota,8/11/2020,Representative,4,Male,N/A,N/A,N/A,51,Won,,,MinnesotaRepresentative4,No,
Dalia Al-Aqidi,No,Yes,Minnesota,8/11/2020,Representative,5,Female,No,N/A,N/A,5,Lost,,,MinnesotaRepresentative5,Yes,yes
Lacy Johnson,No,Yes,Minnesota,8/11/2020,Representative,5,Male,Yes,N/A,N/A,77,Won,,yes,MinnesotaRepresentative5,Yes,
Danielle Stella,No,Yes,Minnesota,8/11/2020,Representative,5,Female,No,N/A,N/A,19,Lost,,,MinnesotaRepresentative5,Yes,yes
Tom Emmer,Yes,No,Minnesota,8/11/2020,Representative,6,Male,Yes,N/A,N/A,87,Won,,yes,MinnesotaRepresentative6,No,
Patrick Munro,No,No,Minnesota,8/11/2020,Representative,6,Male,No,N/A,N/A,13,Lost,,,MinnesotaRepresentative6,No,
Noel Collis,No,Yes,Minnesota,8/11/2020,Representative,7,Male,No,No,No,15,Lost,,,MinnesotaRepresentative7,Yes,
Michelle Fischbach,No,Yes,Minnesota,8/11/2020,Representative,7,Female,Yes,Yes,Yes,59,Won,,yes,MinnesotaRepresentative7,Yes,yes
Dave Hughes,No,Yes,Minnesota,8/11/2020,Representative,7,Male,No,No,No,22,Lost,,,MinnesotaRepresentative7,Yes,
William Louwagie,No,Yes,Minnesota,8/11/2020,Representative,7,Male,No,No,No,2,Lost,,,MinnesotaRepresentative7,Yes,
Jayesun Sherman,No,Yes,Minnesota,8/11/2020,Representative,7,Male,No,No,No,2,Lost,,,MinnesotaRepresentative7,Yes,
Pete Stauber,Yes,No,Minnesota,8/11/2020,Representative,8,Male,Yes,N/A,N/A,94,Won,,yes,MinnesotaRepresentative8,No,
Harry Welty,No,No,Minnesota,8/11/2020,Representative,8,Male,No,N/A,N/A,6,Lost,,,MinnesotaRepresentative8,No,
Miriam Berry,No,Yes,Vermont,8/11/2020,Representative,At-Large,Female,N/A,N/A,N/A,25,Won,,,VermontRepresentativeAt-Large,Yes,yes
Jimmy Rodriguez,No,Yes,Vermont,8/11/2020,Representative,At-Large,Male,N/A,N/A,N/A,14,Lost,,,VermontRepresentativeAt-Large,Yes,
Justin Tuthill,No,Yes,Vermont,8/11/2020,Representative,At-Large,Male,N/A,N/A,N/A,19,Lost,,,VermontRepresentativeAt-Large,Yes,
Anya Tynio,No,Yes,Vermont,8/11/2020,Representative,At-Large,Female,N/A,N/A,N/A,15,Lost,,,VermontRepresentativeAt-Large,Yes,yes
Douglas Cavett,No,No,Vermont,8/11/2020,Governor,N/A,Male,N/A,N/A,N/A,2,Lost,,,VermontGovernorN/A,Yes,
John Klar,No,No,Vermont,8/11/2020,Governor,N/A,Male,N/A,N/A,N/A,22,Lost,,,VermontGovernorN/A,Yes,
Bernard Peters,No,No,Vermont,8/11/2020,Governor,N/A,Male,N/A,N/A,N/A,1,Lost,,,VermontGovernorN/A,Yes,
Emily Peyton,No,No,Vermont,8/11/2020,Governor,N/A,Female,N/A,N/A,N/A,2,Lost,,,VermontGovernorN/A,Yes,yes
Phil Scott,Yes,No,Vermont,8/11/2020,Governor,N/A,Male,N/A,N/A,N/A,72,Won,,,VermontGovernorN/A,Yes,
Bryan Steil,Yes,No,Wisconsin,8/11/2020,Representative,1,Male,N/A,N/A,N/A,100,Won,,,WisconsinRepresentative1,No,
Peter Theron,No,Yes,Wisconsin,8/11/2020,Representative,2,Male,N/A,N/A,N/A,100,Won,,,WisconsinRepresentative2,No,
Derrick Van Orden,No,Yes,Wisconsin,8/11/2020,Representative,3,Male,N/A,N/A,N/A,66,Won,,,WisconsinRepresentative3,Yes,
Jessi Ebben,No,Yes,Wisconsin,8/11/2020,Representative,3,Female,N/A,N/A,N/A,34,Lost,,,WisconsinRepresentative3,Yes,yes
Tim Rogers,No,Yes,Wisconsin,8/11/2020,Representative,4,Male,N/A,N/A,N/A,50,Won,,,WisconsinRepresentative4,Yes,
Cindy Werner,No,Yes,Wisconsin,8/11/2020,Representative,4,Female,N/A,N/A,N/A,50,Lost,,,WisconsinRepresentative4,Yes,yes
Scott Fitzgerald,No,Yes,Wisconsin,8/11/2020,Representative,5,Male,N/A,N/A,N/A,77,Won,,,WisconsinRepresentative5,No,
Cliff DeTemple,No,Yes,Wisconsin,8/11/2020,Representative,5,Male,N/A,N/A,N/A,23,Lost,,,WisconsinRepresentative5,No,
Glenn Grothman,Yes,No,Wisconsin,8/11/2020,Representative,6,Male,N/A,N/A,N/A,100,Won,,,WisconsinRepresentative6,No,
