,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Rolando Rodriguez,Male,Latino,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,28,"1,622",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sandra Whitten,Female,White,,,?,,Maya,,No,No,Texas,3/1/2022,Representative,28,"4,534",18%,Made runoff,"6,413",43%,Lost,N/A,N/A,N/A,No (runoff only),N/A,No (runoff only),No (runoff only),No (runoff only),No (runoff only),
Jaimy Blanco,Female,Latino (Mexican),,,Yes,2/28/2023,Nathaniel,,No,No,Texas,3/1/2022,Representative,29,"2,212",26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lulite Ejigu,Female,Black (Ethiopian),,,No,3/5/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,29,244,3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Julio Garza,Male,Latino,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,29,"2,629",31%,Made runoff,"1,859",39%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert Schafranek,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,29,"3,299",39%,Made runoff,"2,875",61%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lizbeth Diaz,Female,Latino (Mexican),,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,30,"1,416",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kelvin Goodwin-Castillo,Male,Latino,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,30,"2,023",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"James ""J. Frank"" Harris",Male,Black,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,30,"3,952",33%,Made runoff,"2,339",43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Dakinya ""Kinya"" Jefferson",Female,Black,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,30,703,6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Angeigh J. Roc'Ellerpitts,Female,Unknown,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,30,160,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
